old_path,new_path,topic,channel
20260329_20260315 - 上海A9身价的王总为何卖房到版纳折腾？是流动性危机还是战略转身？｜ 资产配置 ｜ 房产泡沫 ｜ 阶层流动 ｜ 经济周期 ｜泰国游泳池 ｜ [pp4_ANWL9cc]_MiroFish.md,20260329_20260315 - 上海A9身价的王总为何卖房到版纳折腾？是流动性危机还是战略转身？｜ 资产配置 ｜ 房产泡沫 ｜ 阶层流动 ｜ 经济周期 ｜泰国游泳池 ｜ [pp4_ANWL9cc]_MiroFish_social_lifestyle.md,social_lifestyle,This is Mr. Dao
20260329_20260317 - 上海霓虹灯下的猎场：2万月薪的体面，在捞女面前碎落满地。 ｜ 城市叙事 ｜ 时代注脚 ｜ 人性观察 ｜ 灵魂拷问 [jirU1XvJ1Rc]_MiroFish.md,20260329_20260317 - 上海霓虹灯下的猎场：2万月薪的体面，在捞女面前碎落满地。 ｜ 城市叙事 ｜ 时代注脚 ｜ 人性观察 ｜ 灵魂拷问 [jirU1XvJ1Rc]_MiroFish_social_lifestyle.md,social_lifestyle,This is Mr. Dao
20260329_20260318 - 上海中产观察：横店失业潮蔓延与家装闭店潮双重夹击，郭德纲虹口开业能否激活消费？ ｜ 魔都经济 ｜ 行业寒冬 ｜ 中产危机 ｜ 德云社 ｜ 苦透苦透 ｜在下刀哥 ｜上海话脱口秀 [uul9ML5YZxM]_MiroFish.md,20260329_20260318 - 上海中产观察：横店失业潮蔓延与家装闭店潮双重夹击，郭德纲虹口开业能否激活消费？ ｜ 魔都经济 ｜ 行业寒冬 ｜ 中产危机 ｜ 德云社 ｜ 苦透苦透 ｜在下刀哥 ｜上海话脱口秀 [uul9ML5YZxM]_MiroFish_social_lifestyle.md,social_lifestyle,This is Mr. Dao
20260329_20260318 - 🔥中国留学生刷爆日本信用卡后跑路，竟还敢在网上高调显摆？｜信用破产｜异国生存｜舆论失控｜身份撕裂｜规则代价 [uw3M_aqDEZo]_MiroFish.md,20260329_20260318 - 🔥中国留学生刷爆日本信用卡后跑路，竟还敢在网上高调显摆？｜信用破产｜异国生存｜舆论失控｜身份撕裂｜规则代价 [uw3M_aqDEZo]_MiroFish_real_estate.md,real_estate,This is Mr. Dao
20260329_20260319 - 【深度】大量杠杆暴雷后！劝上海年轻人远离股市，人生更不能轻易满仓 ｜ 杠杆风险 ｜ 股市真相 ｜ 年轻人理财 ｜ 风险管理 ｜ 资产配置 ｜上海中产观察 [dmF-H4mxmig]_MiroFish.md,20260329_20260319 - 【深度】大量杠杆暴雷后！劝上海年轻人远离股市，人生更不能轻易满仓 ｜ 杠杆风险 ｜ 股市真相 ｜ 年轻人理财 ｜ 风险管理 ｜ 资产配置 ｜上海中产观察 [dmF-H4mxmig]_MiroFish_social_lifestyle.md,social_lifestyle,This is Mr. Dao
20260329_20260320 - 300年前写的爽文，上海刀哥一人独自肝了4周《陆判》，单人短片AI现在的水平如何了？｜ 聊斋志异｜ 电影｜短剧 [lImhi_zSDjI]_MiroFish.md,20260329_20260320 - 300年前写的爽文，上海刀哥一人独自肝了4周《陆判》，单人短片AI现在的水平如何了？｜ 聊斋志异｜ 电影｜短剧 [lImhi_zSDjI]_MiroFish_technology.md,technology,This is Mr. Dao
20260329_20260320 - 上海中产观察：伊朗局势不妙，大裁员的AI寒意让各大厂噤若寒蝉｜ 地缘政治 ｜ 中产危机 ｜ 自动驾驶 ｜ 日本政局 ｜ 宏观趋势 [n5hVOhEyE08]_MiroFish.md,20260329_20260320 - 上海中产观察：伊朗局势不妙，大裁员的AI寒意让各大厂噤若寒蝉｜ 地缘政治 ｜ 中产危机 ｜ 自动驾驶 ｜ 日本政局 ｜ 宏观趋势 [n5hVOhEyE08]_MiroFish_war_conflict.md,war_conflict,This is Mr. Dao
20260329_20260321 - 上海唯一敢看空房价的博主，3月房地产反弹？是有些人逃命的最后机会，要怪就怪AI裁员潮和霍尔木兹海峡 ｜上海房事｜中产买房｜中国楼市 [nMijEevP7Pk]_MiroFish.md,20260329_20260321 - 上海唯一敢看空房价的博主，3月房地产反弹？是有些人逃命的最后机会，要怪就怪AI裁员潮和霍尔木兹海峡 ｜上海房事｜中产买房｜中国楼市 [nMijEevP7Pk]_MiroFish_real_estate.md,real_estate,This is Mr. Dao
20260329_20260322 - 上海出生率历史新低的原因：上海小姑娘的婚恋困局，在充满算计的都市，寻找一份纯粹的感情有多难？ ｜ 相亲 ｜ 婚恋观察 ｜ 社会博弈 ｜ 都市女性 ｜ 阶层焦虑 ｜婚恋成本 ｜ [BAZOVpDbi-o]_MiroFish.md,20260329_20260322 - 上海出生率历史新低的原因：上海小姑娘的婚恋困局，在充满算计的都市，寻找一份纯粹的感情有多难？ ｜ 相亲 ｜ 婚恋观察 ｜ 社会博弈 ｜ 都市女性 ｜ 阶层焦虑 ｜婚恋成本 ｜ [BAZOVpDbi-o]_MiroFish_social_lifestyle.md,social_lifestyle,This is Mr. Dao
20260329_20260322 - 周末消息汇总：美伊战况焦灼｜全球油价通胀经济危机｜上海房价怎么还在跌｜马斯克大单｜成都炒房客入场｜luna刀哥 [L5CtgPL7B60]_MiroFish.md,20260329_20260322 - 周末消息汇总：美伊战况焦灼｜全球油价通胀经济危机｜上海房价怎么还在跌｜马斯克大单｜成都炒房客入场｜luna刀哥 [L5CtgPL7B60]_MiroFish_commodities.md,commodities,This is Mr. Dao
